gene_id	median_abs_deviation
GSM2677364_x	59.3322
GSM2677365_x	50.0428
GSM2677366_x	45.9897
GSM2677357_y	49.611999999999995
GSM2677358_y	39.022800000000004
GSM2677359_y	51.73185
GSM2677360_y	37.0978
GSM2677361_y	51.24185
GSM2677362_y	50.9735
GSM2677363_y	52.966449999999995
GSM2677364_y	59.3322
GSM2677365_y	50.0428
GSM2677366_y	45.9897
