gene_id	median_abs_deviation
GSM2689042	0.0
GSM2689043	0.0
GSM2689044	0.0
GSM2689045	0.0
GSM2689046	0.0
GSM2689047	0.0
GSM2689048	0.0
GSM2689049	0.0
GSM2689050	0.0
GSM2689051	0.0
GSM2689052	0.0
GSM2689053	0.0
GSM2689054	0.0
GSM2689055	0.0
GSM2689056	0.0
GSM2689057	0.0
GSM2689058	0.0
GSM2689059	0.0
GSM2689060	0.0
GSM2689061	0.0
GSM2689062	0.0
GSM2689063	0.0
GSM2689064	0.0
GSM2689065	0.0
GSM2689066	0.0
GSM2689067	0.0
GSM2689068	0.0
GSM2689069	0.0
GSM2689070	0.0
GSM2689071	0.0
GSM2689072	0.0
GSM2689073	0.0
GSM2689074	0.0
GSM2689075	0.0
GSM2689076	0.0
GSM2689077	0.0
GSM2689078	0.0
GSM2689079	0.0
GSM2689080	0.0
GSM2689081	0.0
GSM2689082	0.0
GSM2689083	0.0
GSM2689084	0.0
GSM2689085	0.0
GSM2689086	0.0
GSM2689087	0.0
GSM2689088	0.0
GSM2689089	0.0
GSM2689090	0.0
GSM2689091	0.0
GSM2689092	0.0
GSM2689093	0.0
GSM2689094	0.0
GSM2689095	0.0
GSM2689096	0.0
GSM2689097	0.0
GSM2689098	0.0
GSM2689099	0.0
GSM2689100	0.0
GSM2689101	0.0
GSM2689102	0.0
GSM2689103	0.0
GSM2689104	0.0
GSM2689105	0.0
GSM2689106	0.0
GSM2689107	0.0
GSM2689108	0.0
GSM2689109	0.0
GSM2689110	0.0
GSM2689111	0.0
GSM2689112	0.0
GSM2689113	0.0
GSM2689114	0.0
GSM2689115	0.0
GSM2689116	0.0
GSM2689117	0.0
GSM2689118	0.0
GSM2689119	0.0
GSM2689120	0.0
GSM2689121	0.0
GSM2689122	0.0
GSM2689123	0.0
GSM2689124	0.0
GSM2689125	0.0
GSM2689126	0.0
GSM2689127	0.0
GSM2689128	0.0
GSM2689129	0.0
GSM2689130	0.0
GSM2689131	0.0
GSM2689132	0.0
GSM2689133	0.0
GSM2689134	0.0
GSM2689135	0.0
GSM2689136	0.0
GSM2689137	0.0
GSM2689138	0.0
GSM2689139	0.0
GSM2689140	0.0
GSM2689141	0.0
GSM2689142	0.0
GSM2689143	0.0
GSM2689144	0.0
GSM2689145	0.0
GSM2689146	0.0
GSM2689147	0.0
GSM2689148	0.0
GSM2689149	0.0
GSM2689150	0.0
GSM2689151	0.0
GSM2689152	0.0
GSM2689153	0.0
GSM2689154	0.0
GSM2689155	0.0
GSM2689156	0.0
GSM2689157	0.0
GSM2689158	0.0
GSM2689159	0.0
GSM2689160	0.0
GSM2689161	0.0
GSM2689162	0.0
GSM2689163	0.0
GSM2689164	0.0
GSM2689165	0.0
GSM2689166	0.0
GSM2689167	0.0
GSM2689168	0.0
GSM2689169	0.0
GSM2689170	0.0
GSM2689171	0.0
GSM2689172	0.0
GSM2689173	0.0
GSM2689174	0.0
GSM2689175	0.0
GSM2689176	0.0
GSM2689177	0.0
GSM2689178	0.0
GSM2689179	0.0
GSM2689180	0.0
GSM2689181	0.0
GSM2689182	0.0
GSM2689183	0.0
GSM2689184	0.0
GSM2689185	0.0
GSM2689186	0.0
GSM2689187	0.0
GSM2689188	0.0
GSM2689189	0.0
GSM2689190	0.0
GSM2689191	0.0
GSM2689192	0.0
GSM2689193	0.0
GSM2689194	0.0
GSM2689195	0.0
GSM2689196	0.0
GSM2689197	0.0
GSM2689198	0.0
GSM2689199	0.0
GSM2689200	0.0
GSM2689201	0.0
GSM2689202	0.0
GSM2689203	0.0
GSM2689204	0.0
GSM2689205	0.0
GSM2689206	0.0
GSM2689207	0.0
GSM2689208	0.0
GSM2689209	0.0
GSM2689210	0.0
GSM2689211	0.0
GSM2689212	0.0
GSM2689213	0.0
GSM2689214	0.0
GSM2689215	0.0
GSM2689216	0.0
GSM2689217	0.0
GSM2689218	0.0
GSM2689219	0.0
GSM2689220	0.0
GSM2689221	0.0
GSM2689222	0.0
GSM2689223	0.0
GSM2689224	0.0
GSM2689225	0.0
GSM2689226	0.0
GSM2689227	0.0
GSM2689228	0.0
GSM2689229	0.0
GSM2689230	0.0
GSM2689231	0.0
GSM2689232	0.0
GSM2689233	0.0
GSM2689234	0.0
GSM2689235	0.0
GSM2689236	0.0
GSM2689237	0.0
GSM2689238	0.0
GSM2689239	0.0
GSM2689240	0.0
GSM2689241	0.0
GSM2689242	0.0
GSM2689243	0.0
GSM2689244	0.0
GSM2689245	0.0
GSM2689246	0.0
GSM2689247	0.0
GSM2689248	0.0
GSM2689249	0.0
GSM2689250	0.0
GSM2689251	0.0
GSM2689252	0.0
GSM2689253	0.0
GSM2689254	0.0
GSM2689255	0.0
GSM2689256	0.0
GSM2689257	0.0
GSM2689258	0.0
GSM2689259	0.0
GSM2689260	0.0
GSM2689261	0.0
GSM2689262	0.0
GSM2689263	0.0
GSM2689264	0.0
GSM2689265	0.0
GSM2689266	0.0
GSM2689267	0.0
GSM2689268	0.0
GSM2689269	0.0
GSM2689270	0.0
GSM2689271	0.0
GSM2689272	0.0
GSM2689273	0.0
GSM2689274	0.0
GSM2689275	0.0
GSM2689276	0.0
GSM2689277	0.0
GSM2689278	0.0
GSM2689279	0.0
GSM2689280	0.0
GSM2689281	0.0
GSM2689282	0.0
GSM2689283	0.0
GSM2689284	0.0
GSM2689285	0.0
GSM2689286	0.0
GSM2689287	0.0
GSM2689288	0.0
GSM2689289	0.0
GSM2689290	0.0
GSM2689291	0.0
GSM2689292	0.0
GSM2689293	0.0
GSM2689294	0.0
GSM2689295	0.0
GSM2689296	0.0
GSM2689297	0.0
GSM2689298	0.0
GSM2689299	0.0
GSM2689300	0.0
GSM2689301	0.0
GSM2689302	0.0
GSM2689303	0.0
GSM2689304	0.0
GSM2689305	0.0
GSM2689306	0.0
GSM2689307	0.0
GSM2689308	0.0
GSM2689309	0.0
GSM2689310	0.0
GSM2689311	0.0
GSM2689312	0.0
GSM2689313	0.0
GSM2689314	0.0
GSM2689315	0.0
GSM2689316	0.0
GSM2689317	0.0
GSM2689318	0.0
GSM2689319	0.0
GSM2689320	0.0
GSM2689321	0.0
GSM2689322	0.0
GSM2689323	0.0
GSM2689324	0.0
GSM2689325	0.0
GSM2689326	0.0
