entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
23544	SEZ6L	seizure related 6 homolog like	22	protein-coding		seizure 6-like protein|seizure related gene 6-like
23545	ATP6V0A2	ATPase H+ transporting V0 subunit a2	12	protein-coding	A2|ARCL|ARCL2A|ATP6A2|ATP6N1D|J6B7|RTF|STV1|TJ6|TJ6M|TJ6S|VPH1|WSS	V-type proton ATPase 116 kDa subunit a isoform 2|V-type proton ATPase 116 kDa subunit a|A2V-ATPase|ATPase, H+ transporting, lysosomal V0 subunit a2|lysosomal H(+)-transporting ATPase V0 subunit a2|regeneration and tolerance factor|v-ATPase 116 kDa|v-type proton ATPase 116 kDa subunit a|vacuolar proton translocating ATPase 116 kDa subunit a
23546	SYNGR4	synaptogyrin 4	19	protein-coding		synaptogyrin-4|testis tissue sperm-binding protein Li 72n
23547	LILRA4	leukocyte immunoglobulin like receptor A4	19	protein-coding	CD85g|ILT7	leukocyte immunoglobulin-like receptor subfamily A member 4|CD85 antigen-like family member G|immunoglobulin-like transcript 7|leucocyte Ig-like receptor A4|leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 4|leukocyte immunoglobulin-like receptor, subfamily A (without TM domain), member 4
23548	TTC33	tetratricopeptide repeat domain 33	5	protein-coding	OSRF	tetratricopeptide repeat protein 33|TPR repeat protein 33|osmosis responsive factor
23549	DNPEP	aspartyl aminopeptidase	2	protein-coding	ASPEP|DAP	aspartyl aminopeptidase
23550	PSD4	pleckstrin and Sec7 domain containing 4	2	protein-coding	EFA6B|TIC	PH and SEC7 domain-containing protein 4|ADP-ribosylation factor guanine nucleotide-exchange factor 6|SEC7 homolog|exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 B|exchange factor for ADP-ribosylation factor guanine nucleotide factor 6B|exchange factor for ARF6 B|pleckstrin homology and SEC7 domain-containing protein 4|telomeric of interleukin-1 cluster protein
23551	RASD2	RASD family member 2	22	protein-coding	MGC:4834|Rhes|TEM2	GTP-binding protein Rhes|Ras homolog enriched in striatum|tumor endothelial marker 2
23552	CDK20	cyclin dependent kinase 20	9	protein-coding	CCRK|CDCH|P42|PNQALRE	cyclin-dependent kinase 20|CAK-kinase p42|CDK-activating kinase p42|cell cycle-related kinase|cell division protein kinase 20|cyclin-dependent protein kinase H|cyclin-kinase-activating kinase p42
23553	HYAL4	hyaluronoglucosaminidase 4	7	protein-coding	CSHY	hyaluronidase-4|chondroitin sulfate endo-beta-N-acetylgalactosaminidase|chondroitin sulfate hydrolase|hyal-4
23554	TSPAN12	tetraspanin 12	7	protein-coding	EVR5|NET-2|NET2|TM4SF12	tetraspanin-12|tetraspan NET-2|transmembrane 4 superfamily member 12|tspan-12
23555	TSPAN15	tetraspanin 15	10	protein-coding	2700063A19Rik|NET-7|NET7|TM4SF15	tetraspanin-15|tetraspan NET-7|transmembrane 4 superfamily member 15|transmembrane 4 superfamily member tetraspan NET-7|tspan-15
23556	PIGN	phosphatidylinositol glycan anchor biosynthesis class N	18	protein-coding	MCAHS|MCAHS1|MCD4|MDC4|PIG-N	GPI ethanolamine phosphate transferase 1|MCD4 homolog|phosphatidylinositol-glycan biosynthesis class N protein
23557	SNAPIN	SNAP associated protein	1	protein-coding	BLOC1S7|BLOS7|BORCS3|SNAPAP	SNARE-associated protein Snapin|BLOC-1 subunit 7|SNAP-25-binding protein|SNARE associated protein snapin|biogenesis of lysosomal organelles complex-1, subunit 7|biogenesis of lysosome-related organelles complex 1 subunit 7|synaptosomal-associated protein 25-binding protein
23558	WBP2	WW domain binding protein 2	17	protein-coding	DFNB107|GRAMD6|WBP-2	WW domain-binding protein 2
23559	WBP1	WW domain binding protein 1	2	protein-coding	WBP-1	WW domain-binding protein 1
23560	GTPBP4	GTP binding protein 4	10	protein-coding	CRFG|NGB|NOG1	nucleolar GTP-binding protein 1|G protein-binding protein CRFG|GTP-binding protein NGB|chronic renal failure gene protein
23562	CLDN14	claudin 14	21	protein-coding	DFNB29	claudin-14
23563	CHST5	carbohydrate sulfotransferase 5	16	protein-coding	I-GlcNAc-6-ST|I-GlcNAc6ST|glcNAc6ST-3|gn6st-3|hIGn6ST	carbohydrate sulfotransferase 5|GST4-alpha|N-acetylglucosamine 6-O-sulfotransferase 3|carbohydrate (N-acetylglucosamine 6-O) sulfotransferase 5|galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 4-alpha|intestinal GlcNAc-6-sulfotransferase
23564	DDAH2	dimethylarginine dimethylaminohydrolase 2	6	protein-coding	DDAH|DDAHII|G6a|HEL-S-277|NG30	N(G),N(G)-dimethylarginine dimethylaminohydrolase 2|S-phase protein|dimethylargininase-2|dimethylarginine dimethylaminohydrolase II|epididymis secretory protein Li 277|testis tissue sperm-binding protein Li 54e
23566	LPAR3	lysophosphatidic acid receptor 3	1	protein-coding	EDG7|Edg-7|GPCR|HOFNH30|LP-A3|LPA3|RP4-678I3	lysophosphatidic acid receptor 3|LPA receptor 3|LPA receptor EDG7|LPA-3|calcium-mobilizing lysophosphatidic acid receptor LP-A3|endothelial cell differentiation gene 7|endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 7|lysophosphatidic acid receptor Edg-7
23567	ZNF346	zinc finger protein 346	5	protein-coding	JAZ|Zfp346	zinc finger protein 346|double-stranded RNA-binding zinc finger protein JAZ|just another zinc finger protein
23568	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	16	protein-coding	BART|BART1|RP66	ADP-ribosylation factor-like protein 2-binding protein|ADP-ribosylation factor like 2 binding protein|ARF-like 2-binding protein|ARL2-binding protein|Arf-like 2 binding protein BART1|binder of ARF2 protein 1|binder of Arl Two|binder of Arl2|retinitis pigmentosa 66 (autosomal recessive)
23569	PADI4	peptidyl arginine deiminase 4	1	protein-coding	PAD|PAD4|PADI5|PDI4|PDI5	protein-arginine deiminase type-4|HL-60 PAD|PADI-H protein|peptidyl arginine deiminase, type IV|peptidyl arginine deiminase, type V|protein-arginine deiminase type IV
23574	PRG1	p53-responsive gene 1	19	ncRNA		
23576	DDAH1	dimethylarginine dimethylaminohydrolase 1	1	protein-coding	DDAH|DDAH-1|DDAHI|HEL-S-16	N(G),N(G)-dimethylarginine dimethylaminohydrolase 1|NG, NG-dimethylarginine dimethylaminohydrolase|dimethylargininase-1|epididymis secretory protein Li 16
23580	CDC42EP4	CDC42 effector protein 4	17	protein-coding	BORG4|CEP4|KAIA1777	cdc42 effector protein 4|CDC42 effector protein (Rho GTPase binding) 4|binder of Rho GTPases 4
23581	CASP14	caspase 14	19	protein-coding	ARCI12	caspase-14|CASP-14|apoptosis-related cysteine protease|caspase 14, apoptosis-related cysteine peptidase|caspase 14, apoptosis-related cysteine protease
23582	CCNDBP1	cyclin D1 binding protein 1	15	protein-coding	DIP1|GCIP|HHM	cyclin-D1-binding protein 1|D-type cyclin-interacting protein 1|cyclin D-type binding-protein 1|grap2 and cyclin-D-interacting protein|human homolog of Maid
23583	SMUG1	single-strand-selective monofunctional uracil-DNA glycosylase 1	12	protein-coding	FDG|HMUDG|UNG3	single-strand selective monofunctional uracil DNA glycosylase
23584	VSIG2	V-set and immunoglobulin domain containing 2	11	protein-coding	2210413P10Rik|CTH|CTXL	V-set and immunoglobulin domain-containing protein 2|CT-like protein|cortical thymocyte receptor (X. laevis CTX) like|cortical thymocyte-like protein
23585	TMEM50A	transmembrane protein 50A	1	protein-coding	IFNRC|SMP1	transmembrane protein 50A|cervical cancer oncogene 9|small membrane protein 1
23586	DDX58	DExD/H-box helicase 58	9	protein-coding	RIG-I|RIGI|RLR-1|SGMRT2	probable ATP-dependent RNA helicase DDX58|DEAD (Asp-Glu-Ala-Asp) box polypeptide 58|DEAD box protein 58|DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide|RNA helicase RIG-I|retinoic acid-inducible gene 1 protein|retinoic acid-inducible gene I protein
23587	ELP5	elongator acetyltransferase complex subunit 5	17	protein-coding	C17orf81|DERP6|HSPC002|MST071|MSTP071	elongator complex protein 5|S-phase 2 protein|dermal papilla derived protein 6
23588	KLHDC2	kelch domain containing 2	14	protein-coding	HCLP-1|HCLP1|LCP	kelch domain-containing protein 2|hepatocellular carcinoma-associated antigen 33|host cell factor homolog LCP|host cell factor-like protein 1
23589	CARHSP1	calcium regulated heat stable protein 1	16	protein-coding	CRHSP-24|CRHSP24|CSDC1	calcium-regulated heat-stable protein 1|calcium regulated heat stable protein 1, 24kDa|calcium-regulated heat-stable protein (24kD)|calcium-regulated heat-stable protein of 24 kDa
23590	PDSS1	decaprenyl diphosphate synthase subunit 1	10	protein-coding	COQ1|COQ10D2|DPS|SPS|TPRT|TPT|TPT 1|hDPS1	decaprenyl-diphosphate synthase subunit 1|all-trans-decaprenyl-diphosphate synthase subunit 1|coenzyme Q1 homolog|decaprenyl pyrophosphate synthase subunit 1|polyprenyl pyrophosphate synthetase|prenyl (decaprenyl) diphosphate synthase, subunit 1|subunit 1 of decaprenyl diphosphate synthase|trans-prenyltransferase (TPT)|trans-prenyltransferase 1
23591	FAM215A	family with sequence similarity 215 member A (non-protein coding)	17	ncRNA	APR-2|C17orf88|LINC00530	apoptosis related protein|long intergenic non-protein coding RNA 530
23592	LEMD3	LEM domain containing 3	12	protein-coding	MAN1	inner nuclear membrane protein Man1|LEM domain-containing protein 3|LEMD3/MKX fusion|integral inner nuclear membrane protein
23593	HEBP2	heme binding protein 2	6	protein-coding	C6ORF34B|C6orf34|PP23|SOUL	heme-binding protein 2|placental protein 23
23594	ORC6	origin recognition complex subunit 6	16	protein-coding	ORC6L	origin recognition complex subunit 6
23595	ORC3	origin recognition complex subunit 3	6	protein-coding	LAT|LATHEO|ORC3L	origin recognition complex subunit 3|homolog of latheo, Drosophila|origin recognition complex subunit Latheo|origin recognition complex, subunit 3 honolog
23596	OPN3	opsin 3	1	protein-coding	ECPN|PPP1R116	opsin-3|encephalopsin|opsin 3 (encephalopsin, panopsin)|protein phosphatase 1, regulatory subunit 116
23597	ACOT9	acyl-CoA thioesterase 9	X	protein-coding	ACATE2|CGI-16|MT-ACT48|MTACT48	acyl-coenzyme A thioesterase 9, mitochondrial|acyl-CoA thioester hydrolase 9|acyl-Coenzyme A thioesterase 2, mitochondrial|mitochondrial Acyl-CoA Thioesterase
23598	PATZ1	POZ/BTB and AT hook containing zinc finger 1	22	protein-coding	MAZR|PATZ|RIAZ|ZBTB19|ZNF278|ZSG|dJ400N23	POZ-, AT hook-, and zinc finger-containing protein 1|BTB-POZ domain zinc finger transcription factor|MAZ-related factor|POZ-AT hook-zinc finger protein|protein kinase A RI subunit alpha-associated protein|zinc finger and BTB domain-containing protein 19|zinc finger protein 278|zinc finger sarcoma gene protein
23600	AMACR	alpha-methylacyl-CoA racemase	5	protein-coding	AMACRD|CBAS4|P504S|RACE|RM	alpha-methylacyl-CoA racemase|2-methylacyl-CoA racemase
23601	CLEC5A	C-type lectin domain containing 5A	7	protein-coding	CLECSF5|MDL-1|MDL1	C-type lectin domain family 5 member A|C-type (calcium dependent, carbohydrate-recognition domain) lectin, superfamily member 5|C-type lectin superfamily member 5|myeloid DAP12-associating lectin-1
23603	CORO1C	coronin 1C	12	protein-coding	HCRNN4	coronin-1C|coronin, actin binding protein, 1C|coronin-3
23604	DAPK2	death associated protein kinase 2	15	protein-coding	DRP-1|DRP1	death-associated protein kinase 2|DAP kinase 2|DAP-kinase-related protein 1 beta isoform
23605	HMGN2P9	high mobility group nucleosomal binding domain 2 pseudogene 9	22	pseudo	HMG17L1|HMGN2L9|dJ388M5|dJ388M5.2	high-mobility group (nonhistone chromosomal) protein 17-like 1|high-mobility group nucleosomal binding domain 2-like 9
23606	HMGN2P10	high mobility group nucleosomal binding domain 2 pseudogene10	22	pseudo	HMG17L2|HMGN2L10|bK216E10	high-mobility group (nonhistone chromosomal) protein 17-like 2|high-mobility group nucleosomal binding domain 2-like 10
23607	CD2AP	CD2 associated protein	6	protein-coding	CMS	CD2-associated protein|Cas ligand with multiple Src homology 3 (SH3) domains|adapter protein CMS|cas ligand with multiple SH3 domains
23608	MKRN1	makorin ring finger protein 1	7	protein-coding	RNF61	E3 ubiquitin-protein ligase makorin-1|RING finger protein 61|RING-type E3 ubiquitin transferase makorin-1
23609	MKRN2	makorin ring finger protein 2	3	protein-coding	HSPC070|RNF62	probable E3 ubiquitin-protein ligase makorin-2|RING finger protein 62|RING-type E3 ubiquitin transferase makorin-2|makorin RING zinc-finger protein 2
23610	MKRN6P	makorin ring finger protein 6, pseudogene	6	pseudo	MKRNP2	makorin ring finger protein pseudogene 2
23612	PHLDA3	pleckstrin homology like domain family A member 3	1	protein-coding	TIH1	pleckstrin homology-like domain family A member 3|TDAG51/Ipl homolog 1|pleckstrin homology-like domain, family A, member 2
23613	ZMYND8	zinc finger MYND-type containing 8	20	protein-coding	PRKCBP1|PRO2893|RACK7	protein kinase C-binding protein 1|CTCL tumor antigen se14-3|cutaneous T-cell lymphoma-associated antigen se14-3|predicted protein of HQ2893|zinc finger MYND domain-containing protein 8
23614	PPY2P	pancreatic polypeptide 2, pseudogene	17	pseudo	PPY2	
23615	PYY2	peptide YY 2 (pseudogene)	17	pseudo		peptide YY, 2 (seminalplasmin)|seminalplasmin
23616	SH3BP1	SH3 domain binding protein 1	22	protein-coding	ARHGAP43	SH3 domain-binding protein 1|3BP-1
23617	TSSK2	testis specific serine kinase 2	22	protein-coding	DGS-G|SPOGA2|STK22B|TSK2	testis-specific serine/threonine-protein kinase 2|TSK-2|TSSK-2|diGeorge syndrome protein G|serine/threonine kinase 22B (spermiogenesis associated)|serine/threonine-protein kinase 22B|spermiogenesis associated 2|testicular secretory protein Li 61|testis specific serine threonine kinase 2|testis-specific kinase 2
23619	ZIM2	zinc finger imprinted 2	19	protein-coding	ZNF656	zinc finger imprinted 2|zinc finger protein 656
23620	NTSR2	neurotensin receptor 2	2	protein-coding	NTR2	neurotensin receptor type 2|NT-R-2|levocabastine-sensitive neurotensin receptor|neurotensin receptor, type 2
23621	BACE1	beta-secretase 1	11	protein-coding	ASP2|BACE|HSPC104	beta-secretase 1|APP beta-secretase|asp 2|aspartyl protease 2|beta-secretase 1 precursor variant 1|beta-site APP cleaving enzyme 1|beta-site APP-cleaving enzyme|beta-site amyloid beta A4 precursor protein-cleaving enzyme|memapsin-2|membrane-associated aspartic protease 2|transmembrane aspartic proteinase Asp2
23623	RUSC1	RUN and SH3 domain containing 1	1	protein-coding	NESCA	RUN and SH3 domain-containing protein 1|new molecule containing SH3 at the carboxy-terminus
23624	CBLC	Cbl proto-oncogene C	19	protein-coding	CBL-3|CBL-SL|RNF57	E3 ubiquitin-protein ligase CBL-C|Cas-Br-M (murine) ecotropic retroviral transforming sequence c|Cas-Br-M (murine) ectropic retroviral transforming sequence c|Cbl proto-oncogene C, E3 ubiquitin protein ligase|Cbl proto-oncogene, E3 ubiquitin protein ligase C|RING finger protein 57|RING-type E3 ubiquitin transferase CBL-C|SH3-binding protein CBL-3|SH3-binding protein CBL-C|signal transduction protein CBL-C
23625	FAM89B	family with sequence similarity 89 member B	11	protein-coding	LRAP25|MTVR|MTVR1	leucine repeat adapter protein 25|leucine repeat adaptor protein 25|mammary tumor virus receptor homolog 1|protein FAM89B
23626	SPO11	SPO11, initiator of meiotic double stranded breaks	20	protein-coding	CT35|SPATA43|TOPVIA	meiotic recombination protein SPO11|SPO11 meiotic protein covalently bound to DSB homolog|cancer/testis antigen 35|spermatogenesis associated 43
23627	PRND	prion like protein doppel	20	protein-coding	DOPPEL|DPL|PrPLP|dJ1068H6.4	prion-like protein doppel|downstream prion protein-like|prion gene complex, downstream|prion protein 2 (dublet)
23629	BRD7P3	bromodomain containing 7 pseudogene 3	6	pseudo	BP75	bromodomain containing protein 75 kDa pseudogene
23630	KCNE5	potassium voltage-gated channel subfamily E regulatory subunit 5	X	protein-coding	KCNE1L	potassium voltage-gated channel subfamily E regulatory beta subunit 5|AMME syndrome candidate gene 2 protein|AMMECR2 protein|KCNE1-like|cardiac voltage-gated potassium channel accessory subunit 5|potassium channel subunit beta MiRP4|potassium voltage-gated channel subfamily E member 1-like protein|potassium voltage-gated channel, Isk-related family, member 1-like
23632	CA14	carbonic anhydrase 14	1	protein-coding	CAXiV	carbonic anhydrase 14|CA-XIV|carbonate dehydratase XIV|carbonic anhydrase XIV|carbonic dehydratase
23633	KPNA6	karyopherin subunit alpha 6	1	protein-coding	IPOA7|KPNA7	importin subunit alpha-7|importin alpha 7 subunit|importin-alpha-S2|karyopherin alpha 6 (importin alpha 7)
23635	SSBP2	single stranded DNA binding protein 2	5	protein-coding	HSPC116|SOSS-B2	single-stranded DNA-binding protein 2|sequence-specific single-stranded-DNA-binding protein 2
23636	NUP62	nucleoporin 62	19	protein-coding	IBSN|SNDI|p62	nuclear pore glycoprotein p62|62 kDa nucleoporin|nucleoporin 62kD|nucleoporin 62kDa|nucleoporin Nup62
23637	RABGAP1	RAB GTPase activating protein 1	9	protein-coding	GAPCENA|TBC1D11	rab GTPase-activating protein 1|GAP and centrosome-associated protein|Rab6 GTPase activating protein, GAPCenA|TBC1 domain family, member 11|rab6 GTPase activating protein (GAP and centrosome-associated)|rab6 GTPase-activating protein GAPCenA
23639	LRRC6	leucine rich repeat containing 6	8	protein-coding	CILD19|LRTP|TSLRP	protein tilB homolog|protein TILB homolog|testis-specific leucine-rich repeat protein
23640	HSPBP1	HSPA (Hsp70) binding protein 1	19	protein-coding	FES1	hsp70-binding protein 1|HSPA (heat shock 70kDa) binding protein, cytoplasmic cochaperone 1|heat shock protein-binding protein 1|hsp70 interacting protein
23641	LDOC1	LDOC1, regulator of NFKB signaling	X	protein-coding	BCUR1|Mar7|Mart7|RTL7|SIRH7	protein LDOC1|Sushi-Ichi retrotransposon homolog 7|breast cancer, up-regulated 1|leucine zipper down-regulated in cancer 1|leucine zipper downregulated in cancer|leucine zipper protein down-regulated in cancer cells|mammalian retrotransposon-derived 7|retrotransposon Gag like 7
23642	SNHG1	small nucleolar RNA host gene 1	11	ncRNA	LINC00057|NCRNA00057|U22HG|UHG|lncRNA16	U22 snoRNA host|long intergenic non-protein coding RNA 57|small nucleolar RNA host gene 1 (non-protein coding)
23643	LY96	lymphocyte antigen 96	8	protein-coding	ESOP-1|MD-2|MD2|ly-96	lymphocyte antigen 96|myeloid differentiation protein-2|protein MD-2
23644	EDC4	enhancer of mRNA decapping 4	16	protein-coding	GE1|Ge-1|HEDL5|HEDLS|RCD-8|RCD8	enhancer of mRNA-decapping protein 4|autoantigen Ge-1|autoantigen RCD-8|human enhancer of decapping large subunit
23645	PPP1R15A	protein phosphatase 1 regulatory subunit 15A	19	protein-coding	GADD34	protein phosphatase 1 regulatory subunit 15A|growth arrest and DNA damage-inducible protein GADD34|growth arrest and DNA-damage-inducible 34|myeloid differentiation primary response protein MyD116 homolog|protein phosphatase 1, regulatory (inhibitor) subunit 15A
23646	PLD3	phospholipase D family member 3	19	protein-coding	AD19|HU-K4|HUK4|SCA46	phospholipase D3|choline phosphatase 3|hindIII K4L homolog|phosphatidylcholine-hydrolyzing phospholipase D3
23647	ARFIP2	ADP ribosylation factor interacting protein 2	11	protein-coding	POR1	arfaptin-2|partner of RAC1 (arfaptin 2)
23648	SSBP3	single stranded DNA binding protein 3	1	protein-coding	CSDP|SSDP|SSDP1	single-stranded DNA-binding protein 3|sequence-specific single-stranded-DNA-binding protein
23649	POLA2	DNA polymerase alpha 2, accessory subunit	11	protein-coding		DNA polymerase alpha subunit B|DNA polymerase alpha 70 kDa subunit|polymerase (DNA directed), alpha 2 (70kD subunit)|polymerase (DNA directed), alpha 2, accessory subunit|polymerase (DNA) alpha 2, accessory subunit|polymerase (DNA-directed), alpha (70kD)
23650	TRIM29	tripartite motif containing 29	11	protein-coding	ATDC	tripartite motif-containing protein 29|ataxia-telangiectasia group D-associated protein|tripartite motif protein TRIM29
23654	PLXNB2	plexin B2	22	protein-coding	MM1|Nbla00445|PLEXB2|dJ402G11.3	plexin-B2
23657	SLC7A11	solute carrier family 7 member 11	4	protein-coding	CCBR1|xCT	cystine/glutamate transporter|amino acid transport system xc-|calcium channel blocker resistance protein CCBR1|solute carrier family 7 (anionic amino acid transporter light chain, xc- system), member 11|solute carrier family 7, (cationic amino acid transporter, y+ system) member 11
23658	LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated	7	protein-coding	YER146W	U6 snRNA-associated Sm-like protein LSm5|LSM5 U6 small nuclear RNA and mRNA degradation associated|LSM5 homolog, U6 small nuclear RNA associated
23659	PLA2G15	phospholipase A2 group XV	16	protein-coding	ACS|GXVPLA2|LLPL|LPLA2|LYPLA3	group XV phospholipase A2|1-O-acylceramide synthase|LCAT-like lysophospholipase|lysophospholipase 3 (lysosomal phospholipase A2)|lysosomal phospholipase A2
23660	ZKSCAN5	zinc finger with KRAB and SCAN domains 5	7	protein-coding	ZFP-95|ZFP95|ZNF914|ZSCAN37	zinc finger protein with KRAB and SCAN domains 5|zinc finger protein 95 homolog|zinc finger protein homologous to Zfp95 in mouse
23666	UBBP4	ubiquitin B pseudogene 4	17	pseudo		
23667	UBBP3	ubiquitin B pseudogene 3	2	pseudo		
23668	UBBP2	ubiquitin B pseudogene 2	1	pseudo		
23670	CEMIP2	cell migration inducing hyaluronidase 2	9	protein-coding	TMEM2	cell surface hyaluronidase|transmembrane protein 2
23671	TMEFF2	transmembrane protein with EGF like and two follistatin like domains 2	2	protein-coding	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	tomoregulin-2|cancer/testis antigen family 120, member 2|hyperplastic polyposis protein 1|transmembrane protein TENB2|transmembrane protein with EGF-like and two follistatin-like domains
23673	STX12	syntaxin 12	1	protein-coding	STX13|STX14	syntaxin-12
23676	SMPX	small muscle protein, X-linked	X	protein-coding	DFN6|DFNX4	small muscular protein|deafness, X-linked 6, sensorineural|stretch-responsive skeletal muscle protein
23677	SH3BP4	SH3 domain binding protein 4	2	protein-coding	BOG25|TTP	SH3 domain-binding protein 4|EH-binding protein 10|transferrin receptor-trafficking protein
23678	SGK3	serum/glucocorticoid regulated kinase family member 3	8	protein-coding	CISK|SGK2|SGKL	serine/threonine-protein kinase Sgk3|cytokine-independent survival kinase
23679	SELENOWP1	selenoprotein W pseudogene 1	1	pseudo	SEPW1P	selenoprotein W, 1 pseudogene
23682	RAB38	RAB38, member RAS oncogene family	11	protein-coding	NY-MEL-1|rrGTPbp	ras-related protein Rab-38|Rab-related GTP-binding protein|melanoma antigen NY-MEL-1
23683	PRKD3	protein kinase D3	2	protein-coding	EPK2|PKC-NU|PKD3|PRKCN|nPKC-NU	serine/threonine-protein kinase D3|protein kinase C nu type|protein kinase EPK2
23685	PQBP4	polyglutamine binding protein 4		protein-coding		polyglutamine binding protein 4
23691	NNO1	nanophthalmos 1	11	unknown		
23694	MRX73	mental retardation, X-linked 73	X	unknown		
23696	MRX70	mental retardation, X-linked 70	X	unknown		
23697	MRX69	mental retardation, X-linked 69	X	unknown		
23699	MRX67	mental retardation, X-linked 67	X	unknown		
23700	MRX66	mental retardation, X-linked 66	X	unknown		
23704	KCNE4	potassium voltage-gated channel subfamily E regulatory subunit 4	2	protein-coding	MIRP3	potassium voltage-gated channel subfamily E member 4|MINK-related peptide 3|cardiac voltage-gated potassium channel accessory subunit 4|minimum potassium ion channel-related peptide 3|potassium channel subunit beta MiRP3|potassium channel, voltage gated subfamily E regulatory beta subunit 4|potassium voltage-gated channel, Isk-related family, member 4
23705	CADM1	cell adhesion molecule 1	11	protein-coding	BL2|IGSF4|IGSF4A|NECL2|Necl-2|RA175|ST17|SYNCAM|TSLC1|sTSLC-1|sgIGSF|synCAM1	cell adhesion molecule 1|TSLC-1|TSLC1/Nectin-like 2/IGSF4|immunoglobulin superfamily member 4|immunoglobulin superfamily, member 4D variant 1|immunoglobulin superfamily, member 4D variant 2|nectin-like 2|nectin-like protein 2|spermatogenic immunoglobulin superfamily|synaptic cell adhesion molecule|truncated CADM1 protein|tumor suppressor in lung cancer 1
23706	IBGC1	idiopathic basal ganglia calcification 1	14	unknown	BGCI|IBGC	Basal ganglia calcification, idiopathic (Fahr disease)
23708	GSPT2	G1 to S phase transition 2	X	protein-coding	ERF3B|GST2	eukaryotic peptide chain release factor GTP-binding subunit ERF3B|eukaryotic peptide chain release factor subunit 3b
23710	GABARAPL1	GABA type A receptor associated protein like 1	12	protein-coding	APG8-LIKE|APG8L|ATG8|ATG8B|ATG8L|GEC1	gamma-aminobutyric acid receptor-associated protein-like 1|GABA(A) receptor-associated protein-like 1|GABARAPL1-a|GEC-1|early estrogen-regulated protein|glandular epithelial cell protein 1
23713	DFNB27	deafness, autosomal recessive 27	2	unknown		
23714	DFNB26	deafness, autosomal recessive 26	4	unknown		
23719	DFNA30	deafness, autosomal dominant 30	15	unknown		
23720	DFNA29	deafness, autosomal dominant 29		unknown		
23722	DFNA27	deafness, autosomal dominant 27	4	unknown		
23723	DFNA24	deafness, autosomal dominant 24	4	unknown		
23727	CFM2	cystic fibrosis modifier 2		unknown		
23729	SHPK	sedoheptulokinase	17	protein-coding	CARKL|SHK	sedoheptulokinase|carbohydrate kinase-like protein
23731	TMEM245	transmembrane protein 245	9	protein-coding	C9orf5|CG-2|CG2	transmembrane protein 245|protein CG-2|transmembrane protein C9orf5
23732	FRRS1L	ferric chelate reductase 1 like	9	protein-coding	C9orf4|CG-6|CG6|EIEE37	DOMON domain-containing protein FRRS1L|brain protein CG-6
23738	OFD1P17	OFD1 pseudogene 17	5	pseudo	71-7A3|71-7A5|C5orf1|OFD1P1	OFD1 pseudogene 1|oral-facial-digital syndrome 1 pseudogene|oral-facial-digital syndrome 1, pseudogene 1
23739	C3CER1	chromosome 3 common eliminated region 1	3	other	CER1	
23741	EID1	EP300 interacting inhibitor of differentiation 1	15	protein-coding	C15orf3|CRI1|EID-1|IRO45620|PNAS-22|PTD014|RBP21	EP300-interacting inhibitor of differentiation 1|21 kDa pRb-associated protein|CREBBP/EP300 inhibitor 1|CREBBP/EP300 inhibitory protein 1|E1A-like inhibitor of differentiation 1|NB4 apoptosis related protein|Rb- and p300-binding protein EID-1|retinoblastoma protein-associated protein
23742	NPAP1	nuclear pore associated protein 1	15	protein-coding	C15orf2	nuclear pore-associated protein 1|protein C15orf2
23743	BHMT2	betaine--homocysteine S-methyltransferase 2	5	protein-coding		S-methylmethionine--homocysteine S-methyltransferase BHMT2|SMM-hcy methyltransferase|betaine-homocysteine methyltransferase 2
23744	ATP5F1EP1	ATP synthase F1 subunit epsilon pseudogene 1	4	pseudo	ATP5EP1	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 1
23746	AIPL1	aryl hydrocarbon receptor interacting protein like 1	17	protein-coding	AIPL2|LCA4	aryl-hydrocarbon-interacting protein-like 1
23749	YME1L1P1	YME1L1 pseudogene 1	22	pseudo	YME1L2	YME1-like 1 pseudogene 1
23751	TOP3BP1	DNA topoisomerase III beta pseudogene 1	22	pseudo	TOP3B2	topoisomerase (DNA) III beta pseudogene 1|topoisomerase (DNA) III beta, 2
23752	TSSK1A	testis specific serine kinase 1A, pseudogene	22	pseudo	SPOGA1|STK22A|TSSK1|TSSK1AP|TSSK1b|TSSK7P	serine/threonine kinase 22A (spermiogenesis associated)|spermiogenesis associated 1|testis-specific serine kinase 7 pseudogene
23753	SDF2L1	stromal cell derived factor 2 like 1	22	protein-coding		stromal cell-derived factor 2-like protein 1|PWP1-interacting protein 8|SDF2-like 1|SDF2-like protein 1|dihydropyrimidinase-like 2
23754	RPL32P5	ribosomal protein L32 pseudogene 5	22	pseudo	RPL32L2|RPL32_23_1737	ribosomal protein L32-like 2
23755	SIRPAP1	signal regulatory protein alpha pseudogene 1	22	pseudo	PTPNS1L|SIRPA2P	WUGSC:H_DJ0539M06.5
